time,NSW_419016
1/11/2006,0
2/11/2006,0
3/11/2006,0
4/11/2006,0.32
5/11/2006,0.514
6/11/2006,41.445
7/11/2006,107.102
8/11/2006,76.692
9/11/2006,59.815
10/11/2006,36.37
11/11/2006,24.323
12/11/2006,16.203
13/11/2006,10.411
14/11/2006,7.082
15/11/2006,5.512
16/11/2006,3.326
17/11/2006,3.994
18/11/2006,3.007
19/11/2006,2.156
20/11/2006,1.643
21/11/2006,1.192
22/11/2006,0.887
23/11/2006,0.701
24/11/2006,0.533
25/11/2006,0.431
26/11/2006,0.362
27/11/2006,0.323
28/11/2006,0.36
29/11/2006,0.411
30/11/2006,0.4
1/12/2006,0.31
2/12/2006,0.29
3/12/2006,0.349
4/12/2006,0.417
5/12/2006,0.314
6/12/2006,0.144
7/12/2006,0.062
8/12/2006,0.017
9/12/2006,0.002
10/12/2006,0
11/12/2006,0
12/12/2006,0
13/12/2006,0
14/12/2006,0
15/12/2006,0
16/12/2006,0
17/12/2006,0
18/12/2006,0
19/12/2006,0
20/12/2006,0
21/12/2006,0
22/12/2006,0
23/12/2006,0
24/12/2006,0
25/12/2006,0
26/12/2006,0
27/12/2006,0
28/12/2006,0
29/12/2006,0
30/12/2006,0
31/12/2006,0
1/01/2007,0
2/01/2007,0
3/01/2007,0
4/01/2007,0
5/01/2007,0
6/01/2007,0
7/01/2007,0
8/01/2007,0
9/01/2007,0
10/01/2007,0
11/01/2007,0
12/01/2007,0
13/01/2007,0
14/01/2007,0
15/01/2007,0
16/01/2007,0
17/01/2007,0
18/01/2007,0
19/01/2007,0
20/01/2007,0
21/01/2007,0
22/01/2007,0
23/01/2007,0
24/01/2007,0
25/01/2007,0
26/01/2007,0
27/01/2007,0
28/01/2007,0
29/01/2007,0
30/01/2007,0
31/01/2007,0
1/02/2007,0
2/02/2007,0
3/02/2007,0
4/02/2007,0
5/02/2007,0
6/02/2007,0
7/02/2007,0
8/02/2007,0
9/02/2007,0
10/02/2007,0
11/02/2007,0
12/02/2007,0
13/02/2007,22.485
14/02/2007,31.795
15/02/2007,19.42
16/02/2007,12.188
17/02/2007,6.483
18/02/2007,3.857
19/02/2007,2.576
20/02/2007,1.895
21/02/2007,5.049
22/02/2007,4.181
23/02/2007,2.615
24/02/2007,1.709
25/02/2007,1.279
26/02/2007,1.143
27/02/2007,4.727
28/02/2007,13.292
1/03/2007,10.481
2/03/2007,13.963
3/03/2007,104.979
4/03/2007,110.221
5/03/2007,59.997
6/03/2007,39.798
7/03/2007,27.898
8/03/2007,20.892
9/03/2007,32.837
10/03/2007,54.651
11/03/2007,110.833
12/03/2007,69.362
13/03/2007,40.988
14/03/2007,26.672
15/03/2007,17.82
16/03/2007,11.852
17/03/2007,8.168
18/03/2007,5.895
19/03/2007,4.2
20/03/2007,3.074
21/03/2007,2.351
22/03/2007,1.701
23/03/2007,1.284
24/03/2007,1.044
25/03/2007,1.239
26/03/2007,2.087
27/03/2007,1.775
28/03/2007,1.279
29/03/2007,0.949
30/03/2007,0.797
31/03/2007,0.645
1/04/2007,0.528
2/04/2007,0.416
3/04/2007,0.357
4/04/2007,0.29
5/04/2007,0.253
6/04/2007,0.165
7/04/2007,0.149
8/04/2007,0.129
9/04/2007,0.105
10/04/2007,0.103
11/04/2007,0.086
12/04/2007,0.069
13/04/2007,0.063
14/04/2007,0.041
15/04/2007,0.047
16/04/2007,0.044
17/04/2007,0.03
18/04/2007,0.039
19/04/2007,0.023
20/04/2007,0.01
21/04/2007,0.005
22/04/2007,0.006
23/04/2007,0.005
24/04/2007,0.001
25/04/2007,0
26/04/2007,0
27/04/2007,0
28/04/2007,0.037
29/04/2007,0.152
30/04/2007,0.056
1/05/2007,0.036
2/05/2007,0.016
3/05/2007,0.017
4/05/2007,0.017
5/05/2007,0.014
6/05/2007,0.001
7/05/2007,0
8/05/2007,0
9/05/2007,0
10/05/2007,0
11/05/2007,0
12/05/2007,0
13/05/2007,0
14/05/2007,0
15/05/2007,0
16/05/2007,0
17/05/2007,0
18/05/2007,0
19/05/2007,0.045
20/05/2007,0.057
21/05/2007,0.044
22/05/2007,0.027
23/05/2007,0.017
24/05/2007,0.012
25/05/2007,0.003
26/05/2007,0.108
27/05/2007,2.34
28/05/2007,2.077
29/05/2007,1.413
30/05/2007,1.075
31/05/2007,1.167
1/06/2007,0.92
2/06/2007,0.742
3/06/2007,0.611
4/06/2007,0.626
5/06/2007,0.592
6/06/2007,0.513
7/06/2007,0.483
8/06/2007,0.987
9/06/2007,1.243
10/06/2007,1.696
11/06/2007,38.69
12/06/2007,38.427
13/06/2007,27.249
14/06/2007,18.676
15/06/2007,12.653
16/06/2007,9.687
17/06/2007,7.588
18/06/2007,6.646
19/06/2007,6.039
20/06/2007,12.297
21/06/2007,104.001
22/06/2007,168.57
23/06/2007,105.511
24/06/2007,72.304
25/06/2007,51.645
26/06/2007,40.594
27/06/2007,37.074
28/06/2007,52.361
29/06/2007,243.828
30/06/2007,976.016
1/07/2007,485.338
2/07/2007,283.537
3/07/2007,193.128
4/07/2007,127.64
5/07/2007,94.231
6/07/2007,74.839
7/07/2007,67.819
8/07/2007,85.642
9/07/2007,109.456
10/07/2007,584.535
11/07/2007,381.962
12/07/2007,233.015
13/07/2007,155.198
14/07/2007,113.651
15/07/2007,89.102
16/07/2007,73.951
17/07/2007,60.883
18/07/2007,51.098
19/07/2007,44.588
20/07/2007,39.492
21/07/2007,35.702
22/07/2007,32.443
23/07/2007,29.694
24/07/2007,27.474
25/07/2007,25.319
26/07/2007,23.152
